r,t,y,TotalCapacityAnnual
REGION1,DEMAGRBIO,2016,9999999.0
REGION1,DEMAGRBIO,2017,9999999.0
REGION1,DEMAGRBIO,2018,9999999.0
REGION1,DEMAGRBIO,2019,9999999.0
REGION1,DEMAGRBIO,2020,9999999.0
REGION1,DEMAGRBIO,2021,9999999.0
REGION1,DEMAGRBIO,2022,9999999.0
REGION1,DEMAGRBIO,2023,9999999.0
REGION1,DEMAGRBIO,2024,9999999.0
REGION1,DEMAGRBIO,2025,9999999.0
REGION1,DEMAGRBIO,2026,9999999.0
REGION1,DEMAGRBIO,2027,9999999.0
REGION1,DEMAGRBIO,2028,9999999.0
REGION1,DEMAGRBIO,2029,9999999.0
REGION1,DEMAGRBIO,2030,9999999.0
REGION1,DEMAGRCOA,2016,9999999.0
REGION1,DEMAGRCOA,2017,9999999.0
REGION1,DEMAGRCOA,2018,9999999.0
REGION1,DEMAGRCOA,2019,9999999.0
REGION1,DEMAGRCOA,2020,9999999.0
REGION1,DEMAGRCOA,2021,9999999.0
REGION1,DEMAGRCOA,2022,9999999.0
REGION1,DEMAGRCOA,2023,9999999.0
REGION1,DEMAGRCOA,2024,9999999.0
REGION1,DEMAGRCOA,2025,9999999.0
REGION1,DEMAGRCOA,2026,9999999.0
REGION1,DEMAGRCOA,2027,9999999.0
REGION1,DEMAGRCOA,2028,9999999.0
REGION1,DEMAGRCOA,2029,9999999.0
REGION1,DEMAGRCOA,2030,9999999.0
REGION1,DEMAGRDSL,2016,9999999.0
REGION1,DEMAGRDSL,2017,9999999.0
REGION1,DEMAGRDSL,2018,9999999.0
REGION1,DEMAGRDSL,2019,9999999.0
REGION1,DEMAGRDSL,2020,9999999.0
REGION1,DEMAGRDSL,2021,9999999.0
REGION1,DEMAGRDSL,2022,9999999.0
REGION1,DEMAGRDSL,2023,9999999.0
REGION1,DEMAGRDSL,2024,9999999.0
REGION1,DEMAGRDSL,2025,9999999.0
REGION1,DEMAGRDSL,2026,9999999.0
REGION1,DEMAGRDSL,2027,9999999.0
REGION1,DEMAGRDSL,2028,9999999.0
REGION1,DEMAGRDSL,2029,9999999.0
REGION1,DEMAGRDSL,2030,9999999.0
REGION1,DEMAGRELCC02,2016,9999999.0
REGION1,DEMAGRELCC02,2017,9999999.0
REGION1,DEMAGRELCC02,2018,9999999.0
REGION1,DEMAGRELCC02,2019,9999999.0
REGION1,DEMAGRELCC02,2020,9999999.0
REGION1,DEMAGRELCC02,2021,9999999.0
REGION1,DEMAGRELCC02,2022,9999999.0
REGION1,DEMAGRELCC02,2023,9999999.0
REGION1,DEMAGRELCC02,2024,9999999.0
REGION1,DEMAGRELCC02,2025,9999999.0
REGION1,DEMAGRELCC02,2026,9999999.0
REGION1,DEMAGRELCC02,2027,9999999.0
REGION1,DEMAGRELCC02,2028,9999999.0
REGION1,DEMAGRELCC02,2029,9999999.0
REGION1,DEMAGRELCC02,2030,9999999.0
REGION1,DEMAGRELCN02,2016,9999999.0
REGION1,DEMAGRELCN02,2017,9999999.0
REGION1,DEMAGRELCN02,2018,9999999.0
REGION1,DEMAGRELCN02,2019,9999999.0
REGION1,DEMAGRELCN02,2020,9999999.0
REGION1,DEMAGRELCN02,2021,9999999.0
REGION1,DEMAGRELCN02,2022,9999999.0
REGION1,DEMAGRELCN02,2023,9999999.0
REGION1,DEMAGRELCN02,2024,9999999.0
REGION1,DEMAGRELCN02,2025,9999999.0
REGION1,DEMAGRELCN02,2026,9999999.0
REGION1,DEMAGRELCN02,2027,9999999.0
REGION1,DEMAGRELCN02,2028,9999999.0
REGION1,DEMAGRELCN02,2029,9999999.0
REGION1,DEMAGRELCN02,2030,9999999.0
REGION1,DEMAGRELCS02,2016,9999999.0
REGION1,DEMAGRELCS02,2017,9999999.0
REGION1,DEMAGRELCS02,2018,9999999.0
REGION1,DEMAGRELCS02,2019,9999999.0
REGION1,DEMAGRELCS02,2020,9999999.0
REGION1,DEMAGRELCS02,2021,9999999.0
REGION1,DEMAGRELCS02,2022,9999999.0
REGION1,DEMAGRELCS02,2023,9999999.0
REGION1,DEMAGRELCS02,2024,9999999.0
REGION1,DEMAGRELCS02,2025,9999999.0
REGION1,DEMAGRELCS02,2026,9999999.0
REGION1,DEMAGRELCS02,2027,9999999.0
REGION1,DEMAGRELCS02,2028,9999999.0
REGION1,DEMAGRELCS02,2029,9999999.0
REGION1,DEMAGRELCS02,2030,9999999.0
REGION1,DEMAGRGSL,2016,9999999.0
REGION1,DEMAGRGSL,2017,9999999.0
REGION1,DEMAGRGSL,2018,9999999.0
REGION1,DEMAGRGSL,2019,9999999.0
REGION1,DEMAGRGSL,2020,9999999.0
REGION1,DEMAGRGSL,2021,9999999.0
REGION1,DEMAGRGSL,2022,9999999.0
REGION1,DEMAGRGSL,2023,9999999.0
REGION1,DEMAGRGSL,2024,9999999.0
REGION1,DEMAGRGSL,2025,9999999.0
REGION1,DEMAGRGSL,2026,9999999.0
REGION1,DEMAGRGSL,2027,9999999.0
REGION1,DEMAGRGSL,2028,9999999.0
REGION1,DEMAGRGSL,2029,9999999.0
REGION1,DEMAGRGSL,2030,9999999.0
REGION1,DEMAGRGWTMRD,2016,9999999.0
REGION1,DEMAGRGWTMRD,2017,9999999.0
REGION1,DEMAGRGWTMRD,2018,9999999.0
REGION1,DEMAGRGWTMRD,2019,9999999.0
REGION1,DEMAGRGWTMRD,2020,9999999.0
REGION1,DEMAGRGWTMRD,2021,9999999.0
REGION1,DEMAGRGWTMRD,2022,9999999.0
REGION1,DEMAGRGWTMRD,2023,9999999.0
REGION1,DEMAGRGWTMRD,2024,9999999.0
REGION1,DEMAGRGWTMRD,2025,9999999.0
REGION1,DEMAGRGWTMRD,2026,9999999.0
REGION1,DEMAGRGWTMRD,2027,9999999.0
REGION1,DEMAGRGWTMRD,2028,9999999.0
REGION1,DEMAGRGWTMRD,2029,9999999.0
REGION1,DEMAGRGWTMRD,2030,9999999.0
REGION1,DEMAGRGWTNOC,2016,9999999.0
REGION1,DEMAGRGWTNOC,2017,9999999.0
REGION1,DEMAGRGWTNOC,2018,9999999.0
REGION1,DEMAGRGWTNOC,2019,9999999.0
REGION1,DEMAGRGWTNOC,2020,9999999.0
REGION1,DEMAGRGWTNOC,2021,9999999.0
REGION1,DEMAGRGWTNOC,2022,9999999.0
REGION1,DEMAGRGWTNOC,2023,9999999.0
REGION1,DEMAGRGWTNOC,2024,9999999.0
REGION1,DEMAGRGWTNOC,2025,9999999.0
REGION1,DEMAGRGWTNOC,2026,9999999.0
REGION1,DEMAGRGWTNOC,2027,9999999.0
REGION1,DEMAGRGWTNOC,2028,9999999.0
REGION1,DEMAGRGWTNOC,2029,9999999.0
REGION1,DEMAGRGWTNOC,2030,9999999.0
REGION1,DEMAGRGWTNOE,2016,9999999.0
REGION1,DEMAGRGWTNOE,2017,9999999.0
REGION1,DEMAGRGWTNOE,2018,9999999.0
REGION1,DEMAGRGWTNOE,2019,9999999.0
REGION1,DEMAGRGWTNOE,2020,9999999.0
REGION1,DEMAGRGWTNOE,2021,9999999.0
REGION1,DEMAGRGWTNOE,2022,9999999.0
REGION1,DEMAGRGWTNOE,2023,9999999.0
REGION1,DEMAGRGWTNOE,2024,9999999.0
REGION1,DEMAGRGWTNOE,2025,9999999.0
REGION1,DEMAGRGWTNOE,2026,9999999.0
REGION1,DEMAGRGWTNOE,2027,9999999.0
REGION1,DEMAGRGWTNOE,2028,9999999.0
REGION1,DEMAGRGWTNOE,2029,9999999.0
REGION1,DEMAGRGWTNOE,2030,9999999.0
REGION1,DEMAGRGWTNOW,2016,9999999.0
REGION1,DEMAGRGWTNOW,2017,9999999.0
REGION1,DEMAGRGWTNOW,2018,9999999.0
REGION1,DEMAGRGWTNOW,2019,9999999.0
REGION1,DEMAGRGWTNOW,2020,9999999.0
REGION1,DEMAGRGWTNOW,2021,9999999.0
REGION1,DEMAGRGWTNOW,2022,9999999.0
REGION1,DEMAGRGWTNOW,2023,9999999.0
REGION1,DEMAGRGWTNOW,2024,9999999.0
REGION1,DEMAGRGWTNOW,2025,9999999.0
REGION1,DEMAGRGWTNOW,2026,9999999.0
REGION1,DEMAGRGWTNOW,2027,9999999.0
REGION1,DEMAGRGWTNOW,2028,9999999.0
REGION1,DEMAGRGWTNOW,2029,9999999.0
REGION1,DEMAGRGWTNOW,2030,9999999.0
REGION1,DEMAGRGWTRRD,2016,9999999.0
REGION1,DEMAGRGWTRRD,2017,9999999.0
REGION1,DEMAGRGWTRRD,2018,9999999.0
REGION1,DEMAGRGWTRRD,2019,9999999.0
REGION1,DEMAGRGWTRRD,2020,9999999.0
REGION1,DEMAGRGWTRRD,2021,9999999.0
REGION1,DEMAGRGWTRRD,2022,9999999.0
REGION1,DEMAGRGWTRRD,2023,9999999.0
REGION1,DEMAGRGWTRRD,2024,9999999.0
REGION1,DEMAGRGWTRRD,2025,9999999.0
REGION1,DEMAGRGWTRRD,2026,9999999.0
REGION1,DEMAGRGWTRRD,2027,9999999.0
REGION1,DEMAGRGWTRRD,2028,9999999.0
REGION1,DEMAGRGWTRRD,2029,9999999.0
REGION1,DEMAGRGWTRRD,2030,9999999.0
REGION1,DEMAGRGWTSOC,2016,9999999.0
REGION1,DEMAGRGWTSOC,2017,9999999.0
REGION1,DEMAGRGWTSOC,2018,9999999.0
REGION1,DEMAGRGWTSOC,2019,9999999.0
REGION1,DEMAGRGWTSOC,2020,9999999.0
REGION1,DEMAGRGWTSOC,2021,9999999.0
REGION1,DEMAGRGWTSOC,2022,9999999.0
REGION1,DEMAGRGWTSOC,2023,9999999.0
REGION1,DEMAGRGWTSOC,2024,9999999.0
REGION1,DEMAGRGWTSOC,2025,9999999.0
REGION1,DEMAGRGWTSOC,2026,9999999.0
REGION1,DEMAGRGWTSOC,2027,9999999.0
REGION1,DEMAGRGWTSOC,2028,9999999.0
REGION1,DEMAGRGWTSOC,2029,9999999.0
REGION1,DEMAGRGWTSOC,2030,9999999.0
REGION1,DEMAGRGWTSOE,2016,9999999.0
REGION1,DEMAGRGWTSOE,2017,9999999.0
REGION1,DEMAGRGWTSOE,2018,9999999.0
REGION1,DEMAGRGWTSOE,2019,9999999.0
REGION1,DEMAGRGWTSOE,2020,9999999.0
REGION1,DEMAGRGWTSOE,2021,9999999.0
REGION1,DEMAGRGWTSOE,2022,9999999.0
REGION1,DEMAGRGWTSOE,2023,9999999.0
REGION1,DEMAGRGWTSOE,2024,9999999.0
REGION1,DEMAGRGWTSOE,2025,9999999.0
REGION1,DEMAGRGWTSOE,2026,9999999.0
REGION1,DEMAGRGWTSOE,2027,9999999.0
REGION1,DEMAGRGWTSOE,2028,9999999.0
REGION1,DEMAGRGWTSOE,2029,9999999.0
REGION1,DEMAGRGWTSOE,2030,9999999.0
REGION1,DEMAGRHFO,2016,9999999.0
REGION1,DEMAGRHFO,2017,9999999.0
REGION1,DEMAGRHFO,2018,9999999.0
REGION1,DEMAGRHFO,2019,9999999.0
REGION1,DEMAGRHFO,2020,9999999.0
REGION1,DEMAGRHFO,2021,9999999.0
REGION1,DEMAGRHFO,2022,9999999.0
REGION1,DEMAGRHFO,2023,9999999.0
REGION1,DEMAGRHFO,2024,9999999.0
REGION1,DEMAGRHFO,2025,9999999.0
REGION1,DEMAGRHFO,2026,9999999.0
REGION1,DEMAGRHFO,2027,9999999.0
REGION1,DEMAGRHFO,2028,9999999.0
REGION1,DEMAGRHFO,2029,9999999.0
REGION1,DEMAGRHFO,2030,9999999.0
REGION1,DEMAGRKER,2016,9999999.0
REGION1,DEMAGRKER,2017,9999999.0
REGION1,DEMAGRKER,2018,9999999.0
REGION1,DEMAGRKER,2019,9999999.0
REGION1,DEMAGRKER,2020,9999999.0
REGION1,DEMAGRKER,2021,9999999.0
REGION1,DEMAGRKER,2022,9999999.0
REGION1,DEMAGRKER,2023,9999999.0
REGION1,DEMAGRKER,2024,9999999.0
REGION1,DEMAGRKER,2025,9999999.0
REGION1,DEMAGRKER,2026,9999999.0
REGION1,DEMAGRKER,2027,9999999.0
REGION1,DEMAGRKER,2028,9999999.0
REGION1,DEMAGRKER,2029,9999999.0
REGION1,DEMAGRKER,2030,9999999.0
REGION1,DEMAGRLPG,2016,9999999.0
REGION1,DEMAGRLPG,2017,9999999.0
REGION1,DEMAGRLPG,2018,9999999.0
REGION1,DEMAGRLPG,2019,9999999.0
REGION1,DEMAGRLPG,2020,9999999.0
REGION1,DEMAGRLPG,2021,9999999.0
REGION1,DEMAGRLPG,2022,9999999.0
REGION1,DEMAGRLPG,2023,9999999.0
REGION1,DEMAGRLPG,2024,9999999.0
REGION1,DEMAGRLPG,2025,9999999.0
REGION1,DEMAGRLPG,2026,9999999.0
REGION1,DEMAGRLPG,2027,9999999.0
REGION1,DEMAGRLPG,2028,9999999.0
REGION1,DEMAGRLPG,2029,9999999.0
REGION1,DEMAGRLPG,2030,9999999.0
REGION1,DEMAGRNGS,2016,9999999.0
REGION1,DEMAGRNGS,2017,9999999.0
REGION1,DEMAGRNGS,2018,9999999.0
REGION1,DEMAGRNGS,2019,9999999.0
REGION1,DEMAGRNGS,2020,9999999.0
REGION1,DEMAGRNGS,2021,9999999.0
REGION1,DEMAGRNGS,2022,9999999.0
REGION1,DEMAGRNGS,2023,9999999.0
REGION1,DEMAGRNGS,2024,9999999.0
REGION1,DEMAGRNGS,2025,9999999.0
REGION1,DEMAGRNGS,2026,9999999.0
REGION1,DEMAGRNGS,2027,9999999.0
REGION1,DEMAGRNGS,2028,9999999.0
REGION1,DEMAGRNGS,2029,9999999.0
REGION1,DEMAGRNGS,2030,9999999.0
REGION1,DEMAGROHC,2016,9999999.0
REGION1,DEMAGROHC,2017,9999999.0
REGION1,DEMAGROHC,2018,9999999.0
REGION1,DEMAGROHC,2019,9999999.0
REGION1,DEMAGROHC,2020,9999999.0
REGION1,DEMAGROHC,2021,9999999.0
REGION1,DEMAGROHC,2022,9999999.0
REGION1,DEMAGROHC,2023,9999999.0
REGION1,DEMAGROHC,2024,9999999.0
REGION1,DEMAGROHC,2025,9999999.0
REGION1,DEMAGROHC,2026,9999999.0
REGION1,DEMAGROHC,2027,9999999.0
REGION1,DEMAGROHC,2028,9999999.0
REGION1,DEMAGROHC,2029,9999999.0
REGION1,DEMAGROHC,2030,9999999.0
REGION1,DEMAGRSURMRD,2016,9999999.0
REGION1,DEMAGRSURMRD,2017,9999999.0
REGION1,DEMAGRSURMRD,2018,9999999.0
REGION1,DEMAGRSURMRD,2019,9999999.0
REGION1,DEMAGRSURMRD,2020,9999999.0
REGION1,DEMAGRSURMRD,2021,9999999.0
REGION1,DEMAGRSURMRD,2022,9999999.0
REGION1,DEMAGRSURMRD,2023,9999999.0
REGION1,DEMAGRSURMRD,2024,9999999.0
REGION1,DEMAGRSURMRD,2025,9999999.0
REGION1,DEMAGRSURMRD,2026,9999999.0
REGION1,DEMAGRSURMRD,2027,9999999.0
REGION1,DEMAGRSURMRD,2028,9999999.0
REGION1,DEMAGRSURMRD,2029,9999999.0
REGION1,DEMAGRSURMRD,2030,9999999.0
REGION1,DEMAGRSURNOC,2016,9999999.0
REGION1,DEMAGRSURNOC,2017,9999999.0
REGION1,DEMAGRSURNOC,2018,9999999.0
REGION1,DEMAGRSURNOC,2019,9999999.0
REGION1,DEMAGRSURNOC,2020,9999999.0
REGION1,DEMAGRSURNOC,2021,9999999.0
REGION1,DEMAGRSURNOC,2022,9999999.0
REGION1,DEMAGRSURNOC,2023,9999999.0
REGION1,DEMAGRSURNOC,2024,9999999.0
REGION1,DEMAGRSURNOC,2025,9999999.0
REGION1,DEMAGRSURNOC,2026,9999999.0
REGION1,DEMAGRSURNOC,2027,9999999.0
REGION1,DEMAGRSURNOC,2028,9999999.0
REGION1,DEMAGRSURNOC,2029,9999999.0
REGION1,DEMAGRSURNOC,2030,9999999.0
REGION1,DEMAGRSURNOE,2016,9999999.0
REGION1,DEMAGRSURNOE,2017,9999999.0
REGION1,DEMAGRSURNOE,2018,9999999.0
REGION1,DEMAGRSURNOE,2019,9999999.0
REGION1,DEMAGRSURNOE,2020,9999999.0
REGION1,DEMAGRSURNOE,2021,9999999.0
REGION1,DEMAGRSURNOE,2022,9999999.0
REGION1,DEMAGRSURNOE,2023,9999999.0
REGION1,DEMAGRSURNOE,2024,9999999.0
REGION1,DEMAGRSURNOE,2025,9999999.0
REGION1,DEMAGRSURNOE,2026,9999999.0
REGION1,DEMAGRSURNOE,2027,9999999.0
REGION1,DEMAGRSURNOE,2028,9999999.0
REGION1,DEMAGRSURNOE,2029,9999999.0
REGION1,DEMAGRSURNOE,2030,9999999.0
REGION1,DEMAGRSURNOW,2016,9999999.0
REGION1,DEMAGRSURNOW,2017,9999999.0
REGION1,DEMAGRSURNOW,2018,9999999.0
REGION1,DEMAGRSURNOW,2019,9999999.0
REGION1,DEMAGRSURNOW,2020,9999999.0
REGION1,DEMAGRSURNOW,2021,9999999.0
REGION1,DEMAGRSURNOW,2022,9999999.0
REGION1,DEMAGRSURNOW,2023,9999999.0
REGION1,DEMAGRSURNOW,2024,9999999.0
REGION1,DEMAGRSURNOW,2025,9999999.0
REGION1,DEMAGRSURNOW,2026,9999999.0
REGION1,DEMAGRSURNOW,2027,9999999.0
REGION1,DEMAGRSURNOW,2028,9999999.0
REGION1,DEMAGRSURNOW,2029,9999999.0
REGION1,DEMAGRSURNOW,2030,9999999.0
REGION1,DEMAGRSURRRD,2016,9999999.0
REGION1,DEMAGRSURRRD,2017,9999999.0
REGION1,DEMAGRSURRRD,2018,9999999.0
REGION1,DEMAGRSURRRD,2019,9999999.0
REGION1,DEMAGRSURRRD,2020,9999999.0
REGION1,DEMAGRSURRRD,2021,9999999.0
REGION1,DEMAGRSURRRD,2022,9999999.0
REGION1,DEMAGRSURRRD,2023,9999999.0
REGION1,DEMAGRSURRRD,2024,9999999.0
REGION1,DEMAGRSURRRD,2025,9999999.0
REGION1,DEMAGRSURRRD,2026,9999999.0
REGION1,DEMAGRSURRRD,2027,9999999.0
REGION1,DEMAGRSURRRD,2028,9999999.0
REGION1,DEMAGRSURRRD,2029,9999999.0
REGION1,DEMAGRSURRRD,2030,9999999.0
REGION1,DEMAGRSURSOC,2016,9999999.0
REGION1,DEMAGRSURSOC,2017,9999999.0
REGION1,DEMAGRSURSOC,2018,9999999.0
REGION1,DEMAGRSURSOC,2019,9999999.0
REGION1,DEMAGRSURSOC,2020,9999999.0
REGION1,DEMAGRSURSOC,2021,9999999.0
REGION1,DEMAGRSURSOC,2022,9999999.0
REGION1,DEMAGRSURSOC,2023,9999999.0
REGION1,DEMAGRSURSOC,2024,9999999.0
REGION1,DEMAGRSURSOC,2025,9999999.0
REGION1,DEMAGRSURSOC,2026,9999999.0
REGION1,DEMAGRSURSOC,2027,9999999.0
REGION1,DEMAGRSURSOC,2028,9999999.0
REGION1,DEMAGRSURSOC,2029,9999999.0
REGION1,DEMAGRSURSOC,2030,9999999.0
REGION1,DEMAGRSURSOE,2016,9999999.0
REGION1,DEMAGRSURSOE,2017,9999999.0
REGION1,DEMAGRSURSOE,2018,9999999.0
REGION1,DEMAGRSURSOE,2019,9999999.0
REGION1,DEMAGRSURSOE,2020,9999999.0
REGION1,DEMAGRSURSOE,2021,9999999.0
REGION1,DEMAGRSURSOE,2022,9999999.0
REGION1,DEMAGRSURSOE,2023,9999999.0
REGION1,DEMAGRSURSOE,2024,9999999.0
REGION1,DEMAGRSURSOE,2025,9999999.0
REGION1,DEMAGRSURSOE,2026,9999999.0
REGION1,DEMAGRSURSOE,2027,9999999.0
REGION1,DEMAGRSURSOE,2028,9999999.0
REGION1,DEMAGRSURSOE,2029,9999999.0
REGION1,DEMAGRSURSOE,2030,9999999.0
REGION1,DEMCOMBIO,2016,9999999.0
REGION1,DEMCOMBIO,2017,9999999.0
REGION1,DEMCOMBIO,2018,9999999.0
REGION1,DEMCOMBIO,2019,9999999.0
REGION1,DEMCOMBIO,2020,9999999.0
REGION1,DEMCOMBIO,2021,9999999.0
REGION1,DEMCOMBIO,2022,9999999.0
REGION1,DEMCOMBIO,2023,9999999.0
REGION1,DEMCOMBIO,2024,9999999.0
REGION1,DEMCOMBIO,2025,9999999.0
REGION1,DEMCOMBIO,2026,9999999.0
REGION1,DEMCOMBIO,2027,9999999.0
REGION1,DEMCOMBIO,2028,9999999.0
REGION1,DEMCOMBIO,2029,9999999.0
REGION1,DEMCOMBIO,2030,9999999.0
REGION1,DEMCOMCOA,2016,9999999.0
REGION1,DEMCOMCOA,2017,9999999.0
